Abakan,Абакан,Republic of Khakassia
Abaza,Абаза,Republic of Khakassia
Abdulino,Абдулино,Orenburg Oblast
Abinsk,Абинск,Krasnodar Krai
Achinsk,Ачинск,Krasnoyarsk Krai
Adygeysk,Адыгейск,Republic of Adygea
Agidel,Агидель,Republic of Bashkortostan
Agryz,Агрыз,Republic of Tatarstan
Ak-Dovurak,Ак-Довурак,Tuva Republic
Akhtubinsk,Ахтубинск,Astrakhan Oblast
Aksay,Аксай,Rostov Oblast
Alagir,Алагир,Republic of North Ossetia–Alania
Alapayevsk,Алапаевск,Sverdlovsk Oblast
Alatyr,Алатырь,Chuvash Republic
Aldan,Алдан,Sakha Republic
Aleksin,Алексин,Tula Oblast
Alexandrov,Александров,Vladimir Oblast
Alexandrovsk,Александровск,Perm Krai
Alexandrovsk-Sakhalinsky,Александровск-Сахалинский,Sakhalin Oblast
Alexeyevka,Алексеевка,Belgorod Oblast
Aleysk,Алейск,Altai Krai
Almetyevsk,Альметьевск,Republic of Tatarstan
Alzamay,Алзамай,Irkutsk Oblast
Amursk,Амурск,Khabarovsk Krai
Anadyr,Анадырь,Chukotka Autonomous Okrug
Anapa,Анапа,Krasnodar Krai
Andreapol,Андреаполь,Tver Oblast
Angarsk,Ангарск,Irkutsk Oblast
Aniva,Анива,Sakhalin Oblast
Anzhero-Sudzhensk,Анжеро-Судженск,Kemerovo Oblast
Apatity,Апатиты,Murmansk Oblast
Aprelevka,Апрелевка,Moscow Oblast
Apsheronsk,Апшеронск,Krasnodar Krai
Aramil,Арамиль,Sverdlovsk Oblast
Ardatov,Ардатов,Republic of Mordovia
Ardon,Ардон,Republic of North Ossetia–Alania
Argun,Аргун,Chechen Republic
Arkadak,Аркадак,Saratov Oblast
Arkhangelsk,Архангельск,Arkhangelsk Oblast
Armavir,Армавир,Krasnodar Krai
Arsenyev,Арсеньев,Primorsky Krai
Arsk,Арск,Republic of Tatarstan[1]
Artyom,Артём,Primorsky Krai
Artyomovsk,Артёмовск,Krasnoyarsk Krai
Artyomovsky,Артёмовский,Sverdlovsk Oblast
Arzamas,Арзамас,Nizhny Novgorod Oblast
Asbest,Асбест,Sverdlovsk Oblast
Asha,Аша,Chelyabinsk Oblast
Asino,Асино,Tomsk Oblast
Astrakhan,Астрахань,Astrakhan Oblast
Atkarsk,Аткарск,Saratov Oblast
Aznakayevo,Азнакаево,Republic of Tatarstan
Azov,Азов,Rostov Oblast
Babayevo,Бабаево,Vologda Oblast
Babushkin,Бабушкин,Republic of Buryatia
Bagrationovsk,Багратионовск,Kaliningrad Oblast
Bakal,Бакал,Chelyabinsk Oblast
Baksan,Баксан,Kabardino-Balkar Republic
Balabanovo,Балабаново,Kaluga Oblast
Balakhna,Балахна,Nizhny Novgorod Oblast
Balakovo,Балаково,Saratov Oblast
Balashikha,Балашиха,Moscow Oblast
Balashov,Балашов,Saratov Oblast
Baley,Балей,Zabaykalsky Krai
Baltiysk,Балтийск,Kaliningrad Oblast
Barabinsk,Барабинск,Novosibirsk Oblast
Barnaul,Барнаул,Altai Krai
Barysh,Барыш,Ulyanovsk Oblast
Bataysk,Батайск,Rostov Oblast
Bavly,Бавлы,Republic of Tatarstan
Baykalsk,Байкальск,Irkutsk Oblast
Baymak,Баймак,Republic of Bashkortostan
Belaya Kalitva,Белая Калитва,Rostov Oblast
Belaya Kholunitsa,Белая Холуница,Kirov Oblast
Belebey,Белебей,Republic of Bashkortostan
Belgorod,Белгород,Belgorod Oblast
Belinsky,Белинский,Penza Oblast
Belogorsk,Белогорск,Amur Oblast
Belokurikha,Белокуриха,Altai Krai
Belomorsk,Беломорск,Karelia
Belorechensk,Белореченск,Krasnodar Krai
Beloretsk,Белорецк,Republic of Bashkortostan
Belousovo,Белоусово,Kaluga Oblast
Belovo,Белово,Kemerovo Oblast
Beloyarsky,Белоярский,Khanty-Mansi Autonomous Okrug
Belozersk,Белозерск,Vologda Oblast
Bely,Белый,Tver Oblast
Belyov,Белёв,Tula Oblast
Berdsk,Бердск,Novosibirsk Oblast
Berezniki,Березники,Perm Krai
Berezovsky,Березовский,Kemerovo Oblast
Berezovsky,Березовский,Sverdlovsk Oblast
Beslan,Беслан,Republic of North Ossetia–Alania
Bezhetsk,Бежецк,Tver Oblast
Bikin,Бикин,Khabarovsk Krai
Bilibino,Билибино,Chukotka Autonomous Okrug
Birobidzhan,Биробиджан,Jewish Autonomous Oblast
Birsk,Бирск,Republic of Bashkortostan
Biryuch,Бирюч,Belgorod Oblast
Biryusinsk,Бирюсинск,Irkutsk Oblast
Biysk,Бийск,Altai Krai
Blagodarny,Благодарный,Stavropol Krai
Blagoveshchensk,Благовещенск,Amur Oblast
Blagoveshchensk,Благовещенск,Republic of Bashkortostan
Bobrov,Бобров,Voronezh Oblast
Bodaybo,Бодайбо,Irkutsk Oblast
Bogdanovich,Богданович,Sverdlovsk Oblast
Bogoroditsk,Богородицк,Tula Oblast
Bogorodsk,Богородск,Nizhny Novgorod Oblast
Bogotol,Боготол,Krasnoyarsk Krai
Boguchar,Богучар,Voronezh Oblast
Boksitogorsk,Бокситогорск,Leningrad Oblast
Bolgar,Болгар,Republic of Tatarstan
Bolkhov,Болхов,Oryol Oblast
Bologoye,Бологое,Tver Oblast
Bolokhovo,Болохово,Tula Oblast
Bolotnoye,Болотное,Novosibirsk Oblast
Bolshoy Kamen,Большой Камень,Primorsky Krai
Bor,Бор,Nizhny Novgorod Oblast
Borisoglebsk,Борисоглебск,Voronezh Oblast
Borodino,Бородино,Krasnoyarsk Krai
Borovichi,Боровичи,Novgorod Oblast
Borovsk,Боровск,Kaluga Oblast
Borzya,Борзя,Zabaykalsky Krai
Bratsk,Братск,Irkutsk Oblast
Bronnitsy,Бронницы,Moscow Oblast
Bryansk,Брянск,Bryansk Oblast
Budyonnovsk,Будённовск,Stavropol Krai
Bugulma,Бугульма,Republic of Tatarstan
Buguruslan,Бугуруслан,Orenburg Oblast
Buinsk,Буинск,Republic of Tatarstan
Buturlinovka,Бутурлиновка,Voronezh Oblast
Buy,Буй,Kostroma Oblast
Buynaksk,Буйнакск,Dagestan
Buzuluk,Бузулук,Orenburg Oblast
Chadan,Чадан,Tuva Republic
Chapayevsk,Чапаевск,Samara Oblast
Chaplygin,Чаплыгин,Lipetsk Oblast
Chaykovsky,Чайковский,Perm Krai
Chebarkul,Чебаркуль,Chelyabinsk Oblast
Cheboksary,Чебоксары,Chuvash Republic
Chegem,Чегем,Kabardino-Balkar Republic
Chekalin,Чекалин,Tula Oblast
Chekhov,Чехов,Moscow Oblast
Chelyabinsk,Челябинск,Chelyabinsk Oblast
Cherdyn,Чердынь,Perm Krai
Cheremkhovo,Черемхово,Irkutsk Oblast
Cherepanovo,Черепаново,Novosibirsk Oblast
Cherepovets,Череповец,Vologda Oblast
Cherkessk,Черкесск,Karachay-Cherkessia
Chernogolovka,Черноголовка,Moscow Oblast
Chernogorsk,Черногорск,Republic of Khakassia
Chernushka,Чернушка,Perm Krai
Chernyakhovsk,Черняховск,Kaliningrad Oblast
Chistopol,Чистополь,Republic of Tatarstan
Chita,Чита,Zabaykalsky Krai
Chkalovsk,Чкаловск,Nizhny Novgorod Oblast
Chudovo,Чудово,Novgorod Oblast
Chukhloma,Чухлома,Kostroma Oblast
Chulym,Чулым,Novosibirsk Oblast
Chusovoy,Чусовой,Perm Krai
Chyormoz,Чёрмоз,Perm Krai
Dagestanskiye Ogni,Дагестанские Огни,Dagestan
Dalmatovo,Далматово,Kurgan Oblast
Dalnegorsk,Дальнегорск,Primorsky Krai
Dalnerechensk,Дальнереченск,Primorsky Krai
Danilov,Данилов,Yaroslavl Oblast
Dankov,Данков,Lipetsk Oblast
Davlekanovo,Давлеканово,Republic of Bashkortostan
Dedovsk,Дедовск,Moscow Oblast
Degtyarsk,Дегтярск,Sverdlovsk Oblast
Demidov,Демидов,Smolensk Oblast
Derbent,Дербент,Dagestan
Desnogorsk,Десногорск,Smolensk Oblast
Digora,Дигора,Republic of North Ossetia–Alania
Dimitrovgrad,Димитровград,Ulyanovsk Oblast
Divnogorsk,Дивногорск,Krasnoyarsk Krai
Dmitriyev,Дмитриев,Kursk Oblast
Dmitrov,Дмитров,Moscow Oblast
Dmitrovsk,Дмитровск,Oryol Oblast
Dno,Дно,Pskov Oblast
Dobryanka,Добрянка,Perm Krai
Dolgoprudny,Долгопрудный,Moscow Oblast
Dolinsk,Долинск,Sakhalin Oblast
Domodedovo,Домодедово,Moscow Oblast
Donetsk,Донецк,Rostov Oblast
Donskoy,Донской,Tula Oblast
Dorogobuzh,Дорогобуж,Smolensk Oblast
Drezna,Дрезна,Moscow Oblast
Dubna,Дубна,Moscow Oblast
Dubovka,Дубовка,Volgograd Oblast
Dudinka,Дудинка,Krasnoyarsk Krai
Dukhovshchina,Духовщина,Smolensk Oblast
Dyatkovo,Дятьково,Bryansk Oblast
Dyurtyuli,Дюртюли,Republic of Bashkortostan
Dzerzhinsk,Дзержинск,Nizhny Novgorod Oblast
Dzerzhinsky,Дзержинский,Moscow Oblast
Elektrogorsk,Электрогорск,Moscow Oblast
Elektrostal,Электросталь,Moscow Oblast
Elektrougli,Электроугли,Moscow Oblast
Elista,Элиста,Kalmykia
Engels,Энгельс,Saratov Oblast
Ertil,Эртиль,Voronezh Oblast
Fatezh,Фатеж,Kursk Oblast
Fokino,Фокино,Bryansk Oblast
Fokino,Фокино,Primorsky Krai
Frolovo,Фролово,Volgograd Oblast
Fryazino,Фрязино,Moscow Oblast
Furmanov,Фурманов,Ivanovo Oblast
Gadzhiyevo,Гаджиево,Murmansk Oblast
Gagarin,Гагарин,Smolensk Oblast
Galich,Галич,Kostroma Oblast
Gatchina,Гатчина,Leningrad Oblast
Gavrilov Posad,Гаврилов Посад,Ivanovo Oblast
Gavrilov-Yam,Гаврилов-Ям,Yaroslavl Oblast
Gay,Гай,Orenburg Oblast
Gdov,Гдов,Pskov Oblast
Gelendzhik,Геленджик,Krasnodar Krai
Georgiyevsk,Георгиевск,Stavropol Krai
Glazov,Глазов,Udmurtia
Golitsyno,Голицыно,Moscow Oblast
Gorbatov,Горбатов,Nizhny Novgorod Oblast
Gorno-Altaysk,Горно-Алтайск,Altai Republic
Gornozavodsk,Горнозаводск,Perm Krai
Gornyak,Горняк,Altai Krai
Gorodets,Городец,Nizhny Novgorod Oblast
Gorodishche,Городище,Penza Oblast
Gorodovikovsk,Городовиковск,Kalmykia
Gorokhovets,Гороховец,Vladimir Oblast
Goryachy Klyuch,Горячий Ключ,Krasnodar Krai
Grayvoron,Грайворон,Belgorod Oblast
Gremyachinsk,Гремячинск,Perm Krai
Grozny,Грозный,Chechen Republic
Gryazi,Грязи,Lipetsk Oblast
Gryazovets,Грязовец,Vologda Oblast
Gubakha,Губаха,Perm Krai
Gubkin,Губкин,Belgorod Oblast
Gubkinsky,Губкинский,Yamalo-Nenets Autonomous Okrug
Gudermes,Гудермес,Chechen Republic
Gukovo,Гуково,Rostov Oblast
Gulkevichi,Гулькевичи,Krasnodar Krai
Guryevsk,Гурьевск,Kaliningrad Oblast
Guryevsk,Гурьевск,Kemerovo Oblast
Gus-Khrustalny,Гусь-Хрустальный,Vladimir Oblast
Gusev,Гусев,Kaliningrad Oblast
Gusinoozyorsk,Гусиноозёрск,Republic of Buryatia
Gvardeysk,Гвардейск,Kaliningrad Oblast
Igarka,Игарка,Krasnoyarsk Krai
Ilansky,Иланский,Krasnoyarsk Krai
Innopolis,Иннополис,Republic of Tatarstan
Insar,Инсар,Republic of Mordovia
Inta,Инта,Komi Republic
Inza,Инза,Ulyanovsk Oblast
Ipatovo,Ипатово,Stavropol Krai
Irbit,Ирбит,Sverdlovsk Oblast
Irkutsk,Иркутск,Irkutsk Oblast
Ishim,Ишим,Tyumen Oblast
Ishimbay,Ишимбай,Republic of Bashkortostan
Isilkul,Исилькуль,Omsk Oblast
Iskitim,Искитим,Novosibirsk Oblast
Istra,Истра,Moscow Oblast
Ivangorod,Ивангород,Leningrad Oblast
Ivanovo,Иваново,Ivanovo Oblast
Ivanteyevka,Ивантеевка,Moscow Oblast
Ivdel,Ивдель,Sverdlovsk Oblast
Izberbash,Избербаш,Dagestan
Izhevsk,Ижевск,Udmurtia
Izobilny,Изобильный,Stavropol Krai
Kachkanar,Качканар,Sverdlovsk Oblast
Kadnikov,Кадников,Vologda Oblast
Kalach,Калач,Voronezh Oblast
Kalach-na-Donu,Калач-на-Дону,Volgograd Oblast
Kalachinsk,Калачинск,Omsk Oblast
Kaliningrad,Калининград,Kaliningrad Oblast
Kalininsk,Калининск,Saratov Oblast
Kaltan,Калтан,Kemerovo Oblast
Kaluga,Калуга,Kaluga Oblast
Kalyazin,Калязин,Tver Oblast
Kambarka,Камбарка,Udmurtia
Kamenka,Каменка,Penza Oblast
Kamen-na-Obi,Камень-на-Оби,Altai Krai
Kamennogorsk,Каменногорск,Leningrad Oblast
Kamensk-Shakhtinsky,Каменск-Шахтинский,Rostov Oblast
Kamensk-Uralsky,Каменск-Уральский,Sverdlovsk Oblast
Kameshkovo,Камешково,Vladimir Oblast
Kamyshin,Камышин,Volgograd Oblast
Kamyshlov,Камышлов,Sverdlovsk Oblast
Kamyzyak,Камызяк,Astrakhan Oblast
Kanash,Канаш,Chuvash Republic
Kandalaksha,Кандалакша,Murmansk Oblast
Kansk,Канск,Krasnoyarsk Krai
Karabanovo,Карабаново,Vladimir Oblast
Karabash,Карабаш,Chelyabinsk Oblast
Karabulak,Карабулак,Ingushetia
Karachayevsk,Карачаевск,Karachay-Cherkessia
Karachev,Карачев,Bryansk Oblast
Karasuk,Карасук,Novosibirsk Oblast
Kargat,Каргат,Novosibirsk Oblast
Kargopol,Каргополь,Arkhangelsk Oblast
Karpinsk,Карпинск,Sverdlovsk Oblast
Kartaly,Карталы,Chelyabinsk Oblast
Kashin,Кашин,Tver Oblast
Kashira,Кашира,Moscow Oblast
Kasimov,Касимов,Ryazan Oblast
Kasli,Касли,Chelyabinsk Oblast
Kaspiysk,Каспийск,Dagestan
Katav-Ivanovsk,Катав-Ивановск,Chelyabinsk Oblast
Kataysk,Катайск,Kurgan Oblast
Kazan,Казань,Republic of Tatarstan
Kedrovy,Кедровый,Tomsk Oblast
Kem,Кемь,Karelia
Kemerovo,Кемерово,Kemerovo Oblast
Khabarovsk,Хабаровск,Khabarovsk Krai
Khadyzhensk,Хадыженск,Krasnodar Krai
Khanty-Mansiysk,Ханты-Мансийск,Khanty-Mansi Autonomous Okrug
Kharabali,Харабали,Astrakhan Oblast
Kharovsk,Харовск,Vologda Oblast
Khasavyurt,Хасавюрт,Dagestan
Khilok,Хилок,Zabaykalsky Krai
Khimki,Химки,Moscow Oblast
Kholm,Холм,Novgorod Oblast
Kholmsk,Холмск,Sakhalin Oblast
Khotkovo,Хотьково,Moscow Oblast
Khvalynsk,Хвалынск,Saratov Oblast
Kimovsk,Кимовск,Tula Oblast
Kimry,Кимры,Tver Oblast
Kinel,Кинель,Samara Oblast
Kineshma,Кинешма,Ivanovo Oblast
Kingisepp,Кингисепп,Leningrad Oblast
Kirensk,Киренск,Irkutsk Oblast
Kireyevsk,Киреевск,Tula Oblast
Kirillov,Кириллов,Vologda Oblast
Kirishi,Кириши,Leningrad Oblast
Kirov,Киров,Kaluga Oblast
Kirov,Киров,Kirov Oblast
Kirovgrad,Кировград,Sverdlovsk Oblast
Kirovo-Chepetsk,Кирово-Чепецк,Kirov Oblast
Kirovsk,Кировск,Leningrad Oblast
Kirovsk,Кировск,Murmansk Oblast
Kirs,Кирс,Kirov Oblast
Kirsanov,Кирсанов,Tambov Oblast
Kirzhach,Киржач,Vladimir Oblast
Kiselyovsk,Киселёвск,Kemerovo Oblast
Kislovodsk,Кисловодск,Stavropol Krai
Kizel,Кизел,Perm Krai
Kizilyurt,Кизилюрт,Dagestan
Kizlyar,Кизляр,Dagestan
Klimovsk,Климовск,Moscow Oblast
Klin,Клин,Moscow Oblast
Klintsy,Клинцы,Bryansk Oblast
Knyaginino,Княгинино,Nizhny Novgorod Oblast
Kodinsk,Кодинск,Krasnoyarsk Krai
Kogalym,Когалым,Khanty-Mansi Autonomous Okrug
Kokhma,Кохма,Ivanovo Oblast
Kola,Кола,Murmansk Oblast
Kolchugino,Кольчугино,Vladimir Oblast
Kologriv,Кологрив,Kostroma Oblast
Kolomna,Коломна,Moscow Oblast
Kolpashevo,Колпашево,Tomsk Oblast
Kolpino,Колпино,Saint Petersburg
Kommunar,Коммунар,Leningrad Oblast
Komsomolsk,Комсомольск,Ivanovo Oblast
Komsomolsk-on-Amur,Комсомольск-на-Амуре,Khabarovsk Krai
Konakovo,Конаково,Tver Oblast
Kondopoga,Кондопога,Karelia
Kondrovo,Кондрово,Kaluga Oblast
Konstantinovsk,Константиновск,Rostov Oblast
Kopeysk,Копейск,Chelyabinsk Oblast
Korablino,Кораблино,Ryazan Oblast
Korenovsk,Кореновск,Krasnodar Krai
Korkino,Коркино,Chelyabinsk Oblast
Korocha,Короча,Belgorod Oblast
Korolyov,Королёв,Moscow Oblast
Korsakov,Корсаков,Sakhalin Oblast
Koryazhma,Коряжма,Arkhangelsk Oblast
Kosteryovo,Костерёво,Vladimir Oblast
Kostomuksha,Костомукша,Karelia
Kostroma,Кострома,Kostroma Oblast
Kotelnich,Котельнич,Kirov Oblast
Kotelniki,Котельники,Moscow Oblast
Kotelnikovo,Котельниково,Volgograd Oblast
Kotlas,Котлас,Arkhangelsk Oblast
Kotovo,Котово,Volgograd Oblast
Kotovsk,Котовск,Tambov Oblast
Kovdor,Ковдор,Murmansk Oblast
Kovrov,Ковров,Vladimir Oblast
Kovylkino,Ковылкино,Republic of Mordovia
Kozelsk,Козельск,Kaluga Oblast
Kozlovka,Козловка,Chuvash Republic
Kozmodemyansk,Козьмодемьянск,Mari El
Krasavino,Красавино,Vologda Oblast
Krasnoarmeysk,Красноармейск,Moscow Oblast
Krasnoarmeysk,Красноармейск,Saratov Oblast
Krasnodar,Краснодар,Krasnodar Krai
Krasnogorsk,Красногорск,Moscow Oblast
Krasnokamensk,Краснокаменск,Zabaykalsky Krai
Krasnokamsk,Краснокамск,Perm Krai
Krasnoslobodsk,Краснослободск,Volgograd Oblast
Krasnoslobodsk,Краснослободск,Republic of Mordovia
Krasnoturyinsk,Краснотурьинск,Sverdlovsk Oblast
Krasnoufimsk,Красноуфимск,Sverdlovsk Oblast
Krasnouralsk,Красноуральск,Sverdlovsk Oblast
Krasnovishersk,Красновишерск,Perm Krai
Krasnoyarsk,Красноярск,Krasnoyarsk Krai
Krasnoye Selo,Красное Село,Saint Petersburg
Krasnozavodsk,Краснозаводск,Moscow Oblast
Krasnoznamensk,Краснознаменск,Kaliningrad Oblast
Krasnoznamensk,Краснознаменск,Moscow Oblast
Krasny Kholm,Красный Холм,Tver Oblast
Krasny Kut,Красный Кут,Saratov Oblast
Krasny Sulin,Красный Сулин,Rostov Oblast
Kremyonki,Кремёнки,Kaluga Oblast
Kronstadt,Кронштадт,Saint Petersburg
Kropotkin,Кропоткин,Krasnodar Krai
Krymsk,Крымск,Krasnodar Krai
Kstovo,Кстово,Nizhny Novgorod Oblast
Kubinka,Кубинка,Moscow Oblast
Kudymkar,Кудымкар,Perm Krai
Kulebaki,Кулебаки,Nizhny Novgorod Oblast
Kumertau,Кумертау,Republic of Bashkortostan
Kungur,Кунгур,Perm Krai
Kupino,Купино,Novosibirsk Oblast
Kurchatov,Курчатов,Kursk Oblast
Kurgan,Курган,Kurgan Oblast
Kurganinsk,Курганинск,Krasnodar Krai
Kurilsk,Курильск,Sakhalin Oblast
Kurlovo,Курлово,Vladimir Oblast
Kurovskoye,Куровское,Moscow Oblast
Kursk,Курск,Kursk Oblast
Kurtamysh,Куртамыш,Kurgan Oblast
Kusa,Куса,Chelyabinsk Oblast
Kushva,Кушва,Sverdlovsk Oblast
Kuvandyk,Кувандык,Orenburg Oblast
Kuvshinovo,Кувшиново,Tver Oblast
Kuybyshev,Куйбышев,Novosibirsk Oblast
Kuznetsk,Кузнецк,Penza Oblast
Kyakhta,Кяхта,Republic of Buryatia
Kyshtym,Кыштым,Chelyabinsk Oblast
Kyzyl,Кызыл,Tuva Republic
Labinsk,Лабинск,Krasnodar Krai
Labytnangi,Лабытнанги,Yamalo-Nenets Autonomous Okrug
Ladushkin,Ладушкин,Kaliningrad Oblast
Lagan,Лагань,Kalmykia
Laishevo,Лаишево,Republic of Tatarstan
Lakhdenpokhya,Лахденпохья,Karelia
Lakinsk,Лакинск,Vladimir Oblast
Langepas,Лангепас,Khanty-Mansi Autonomous Okrug
Lebedyan,Лебедянь,Lipetsk Oblast
Leninogorsk,Лениногорск,Republic of Tatarstan
Leninsk,Ленинск,Volgograd Oblast
Leninsk-Kuznetsky,Ленинск-Кузнецкий,Kemerovo Oblast
Lensk,Ленск,Sakha Republic
Lermontov,Лермонтов,Stavropol Krai
Lesnoy,Лесной,Sverdlovsk Oblast
Lesosibirsk,Лесосибирск,Krasnoyarsk Krai
Lesozavodsk,Лесозаводск,Primorsky Krai
Lgov,Льгов,Kursk Oblast
Likhoslavl,Лихославль,Tver Oblast
Likino-Dulyovo,Ликино-Дулёво,Moscow Oblast
Lipetsk,Липецк,Lipetsk Oblast
Lipki,Липки,Tula Oblast
Liski,Лиски,Voronezh Oblast
Livny,Ливны,Oryol Oblast
Lobnya,Лобня,Moscow Oblast
Lodeynoye Pole,Лодейное Поле,Leningrad Oblast
Lomonosov,Ломоносов,Saint Petersburg
Losino-Petrovsky,Лосино-Петровский,Moscow Oblast
Luga,Луга,Leningrad Oblast
Lukhovitsy,Луховицы,Moscow Oblast
Lukoyanov,Лукоянов,Nizhny Novgorod Oblast
Luza,Луза,Kirov Oblast
Lyantor,Лянтор,Khanty-Mansi Autonomous Okrug
Lyskovo,Лысково,Nizhny Novgorod Oblast
Lysva,Лысьва,Perm Krai
Lytkarino,Лыткарино,Moscow Oblast
Lyuban,Любань,Leningrad Oblast
Lyubertsy,Люберцы,Moscow Oblast
Lyubim,Любим,Yaroslavl Oblast
Lyudinovo,Людиново,Kaluga Oblast
Magadan,Магадан,Magadan Oblast
Magas,Магас,Ingushetia
Magnitogorsk,Магнитогорск,Chelyabinsk Oblast
Makarov,Макаров,Sakhalin Oblast
Makaryev,Макарьев,Kostroma Oblast
Makhachkala,Махачкала,Dagestan
Makushino,Макушино,Kurgan Oblast
Malaya Vishera,Малая Вишера,Novgorod Oblast
Malgobek,Малгобек,Ingushetia
Malmyzh,Малмыж,Kirov Oblast
Maloarkhangelsk,Малоархангельск,Oryol Oblast
Maloyaroslavets,Малоярославец,Kaluga Oblast
Mamadysh,Мамадыш,Republic of Tatarstan
Mamonovo,Мамоново,Kaliningrad Oblast
Manturovo,Мантурово,Kostroma Oblast
Mariinsk,Мариинск,Kemerovo Oblast
Mariinsky Posad,Мариинский Посад,Chuvash Republic
Marks,Маркс,Saratov Oblast
Maykop,Майкоп,Republic of Adygea
Maysky,Майский,Kabardino-Balkar Republic
Mednogorsk,Медногорск,Orenburg Oblast
Medvezhyegorsk,Медвежьегорск,Karelia
Medyn,Медынь,Kaluga Oblast
Megion,Мегион,Khanty-Mansi Autonomous Okrug
Melenki,Меленки,Vladimir Oblast
Meleuz,Мелеуз,Republic of Bashkortostan
Mendeleyevsk,Менделеевск,Republic of Tatarstan
Menzelinsk,Мензелинск,Republic of Tatarstan
Meshchovsk,Мещовск,Kaluga Oblast
Mezen,Мезень,Arkhangelsk Oblast
Mezhdurechensk,Междуреченск,Kemerovo Oblast
Mezhgorye,Межгорье,Republic of Bashkortostan
Mglin,Мглин,Bryansk Oblast
Miass,Миасс,Chelyabinsk Oblast
Michurinsk,Мичуринск,Tambov Oblast
Mikhaylov,Михайлов,Ryazan Oblast
Mikhaylovka,Михайловка,Volgograd Oblast
Mikhaylovsk,Михайловск,Sverdlovsk Oblast
Mikhaylovsk,Михайловск,Stavropol Krai
Mikun,Микунь,Komi Republic
Millerovo,Миллерово,Rostov Oblast
Mineralnye Vody,Минеральные Воды,Stavropol Krai
Minusinsk,Минусинск,Krasnoyarsk Krai
Minyar,Миньяр,Chelyabinsk Oblast
Mirny,Мирный,Arkhangelsk Oblast
Mirny,Мирный,Sakha Republic
Mogocha,Могоча,Zabaykalsky Krai
Monchegorsk,Мончегорск,Murmansk Oblast
Morozovsk,Морозовск,Rostov Oblast
Morshansk,Моршанск,Tambov Oblast
Mosalsk,Мосальск,Kaluga Oblast
Moskovsky,Московский,Moscow
Moscow,Москва,Moscow
Mozdok,Моздок,Republic of North Ossetia–Alania
Mozhaysk,Можайск,Moscow Oblast
Mozhga,Можга,Udmurtia
Mtsensk,Мценск,Oryol Oblast
Murashi,Мураши,Kirov Oblast
Muravlenko,Муравленко,Yamalo-Nenets Autonomous Okrug
Murmansk,Мурманск,Murmansk Oblast
Murom,Муром,Vladimir Oblast
Myshkin,Мышкин,Yaroslavl Oblast
Myski,Мыски,Kemerovo Oblast
Mytishchi,Мытищи,Moscow Oblast
Naberezhnye Chelny,Набережные Челны,Republic of Tatarstan
Nadym,Надым,Yamalo-Nenets Autonomous Okrug
Nakhodka,Находка,Primorsky Krai
Nalchik,Нальчик,Kabardino-Balkar Republic
Narimanov,Нариманов,Astrakhan Oblast
Naro-Fominsk,Наро-Фоминск,Moscow Oblast
Nartkala,Нарткала,Kabardino-Balkar Republic
Naryan-Mar,Нарьян-Мар,Nenets Autonomous Okrug
Navashino,Навашино,Nizhny Novgorod Oblast
Navoloki,Наволоки,Ivanovo Oblast
Nazarovo,Назарово,Krasnoyarsk Krai
Nazran,Назрань,Ingushetia
Nazyvayevsk,Называевск,Omsk Oblast
Neftegorsk,Нефтегорск,Samara Oblast
